reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/02158/FUL,"Reorganisation of the car parks and the provision of a new drive thru restaurant (being variation of condition 2 of planning application 16/01076/FUL, granted on 18.11.2016; Reconfigure the existing car park including the reduction of the parking spaces by 20, and the relocation of trees and lampposts)",2024-05-14,local-authority:DNC,,,,
23/02160/ADV,Racecourse Perimeter advertising of race day and non racing events.,2024-02-28,local-authority:DNC,,,,
23/02161/FUL,Install an MCS compliant Dailkin domestic air source heat pump at the rear of the house.,2024-02-28,local-authority:DNC,,,,
23/02175/FUL,"Alterations to openings, fitting of new timber windows, constructions of a new porch, roof & chimney. Repairs to existing wall, insulation, draught proofing & timber treatments",2024-06-04,local-authority:DNC,,,,
23/02180/FUL,Siting of proposed modular building to provide teaching facilities (permanent permission),2024-05-03,local-authority:DNC,,,,
23/02188/LBC,"Listed Building Consent for alterations to openings, fitting of new timber windows, constructions of a new porch, roof & chimney. Repairs to existing wall, insulation, draught proofing & timber treatments",2024-06-04,local-authority:DNC,,,,
23/02193/FUL,Erection of single storey rear extension after demolition of existing conservatory.,2024-01-08,local-authority:DNC,,,,
23/02194/ADV,"Display of externally illuminated shop sign, to replace existing one above the shop at the front of the building.",2024-02-13,local-authority:DNC,,,,
23/02196/3FULM,Full Planning Application for the remediation of land at Doncaster Waterfront (East) and use of site for interim public open space,2024-02-09,local-authority:DNC,,,,
23/02197/FUL,Erection of stable block and associated menage for personal equestrian use,2024-07-10,local-authority:DNC,,,,
23/02205/FUL,Extension to rear beer garden with canvas cover and outside bar and changes to ground floor ladies toilet to create a disabled toilet (variation of condition 3 of planning application 21/00832/FUL granted on 28.10.2021 (no live music)),2024-03-07,local-authority:DNC,,,,
23/02208/FUL,Conversion of existing outbuilding into two flats and associated external alterations,2024-01-15,local-authority:DNC,,,,
23/02218/COU,Change of use from a residential dwelling (Use Class C3) to education provision (Use Class F1a),2024-04-17,local-authority:DNC,,,,
23/02221/FUL,"Erection of a first floor extension above existing garage to create bedroom, conversion of garage to utility room and store and associated external works",2024-05-22,local-authority:DNC,,,,
23/02222/FUL,Erection of single storey rear extension following demolition of existing rear extension.  Installation of 2 roof lights to the extension and 2 roof lights to the existing dining/kitchen.,2024-01-08,local-authority:DNC,,,,
23/02223/FUL,"Amended - Proposed raising of the roof height of the existing detached Garage to form a new first floor level Office Space, with one pitched roof dormer window proposed to the front elevation of the half hipped styled roof.",2024-03-13,local-authority:DNC,,,,
23/02225/FUL,"Erection of single storey rear extension, proposed replacement of flat roof dormers with hipped dormers, alteration of front elevation openings and window styles and replacement materials including re-rendering of dwelling",2024-01-08,local-authority:DNC,,,,
23/02233/TPO,Application for consetn to remove dead wood from ash trees covered by TPO DMBC/TPO/00217 - Doncaster Borough Council Tree Preservation Order (No.217) 2000 Conisbrough..,2024-01-19,local-authority:DNC,,,,
23/02237/FUL,"Change of use from an outbuilding to an annexe, including the partial demolition of the building and associated external alterations",2024-03-18,local-authority:DNC,,,,
23/02238/TPO,This is an application to fell and replace one Sycamore tree (T1). The tree is subject to T38 Doncaster Borough Council Tree Preservation Order (No.80) 1991 Old Denaby.,2024-01-19,local-authority:DNC,,,,
23/02243/FUL,Erection of a detached summer house in the garden to the rear of the property.,2024-01-22,local-authority:DNC,,,,
23/02247/FUL,Proposed erection of 2 No. detached dwellings and associated garage.,2024-09-13,local-authority:DNC,,,,
23/02248/FUL,Erection of outbuilding to rear,2024-03-11,local-authority:DNC,,,,
23/02249/LBCM,Listed Building Consent for change of use from reformed church hall to 8 x one bedroom apartments with associated works,2024-04-05,local-authority:DNC,,,,
23/02254/FUL,Installation of additional  4 new roof lights to the side,2024-01-26,local-authority:DNC,,,,
23/02274/FUL,Erection of a single storey extension to the rear.,2024-01-09,local-authority:DNC,,,,
23/02275/FULM,"Demolition of remaining structures and hard standings and the erection of four commercial units for light industrial (Use Class E(g)), general industrial (Use Class B2), and storage and distribution uses (Use Class B8), together with associated car parking, service yards and landscape planting (variation of Condition 2 (Approved Plans) to internally subdivide Unit 1, and vary condition 8 (Landscaping Scheme) to update landscape plan reference, of planning permission 21/03595/FULM granted on 29/11/2022).",2024-02-21,local-authority:DNC,,,,
23/02283/FULM,"Erection of a three storey education facility over a total gross internal floor space of 5,584m2, & soft landscaping, pedestrian provisions, outdoor canopies, the relocation of the car park and bicycle shelter, a temporary car park and the demolition of redundant buildings.",2024-04-18,local-authority:DNC,,,,
23/02284/COU,Change of use from children's residential home (Use Class C2) to dwelling house (C3a),2024-01-18,local-authority:DNC,,,,
23/02290/FUL,Erection of electric vehicle charging hub and associated infrastructure.,2024-01-08,local-authority:DNC,,,,
23/02291/FUL,Erection of a conservatory on the rear of the property,2024-01-09,local-authority:DNC,,,,
23/02295/FUL,"Proposed alterations and refurbishments throughout to bring property back into use as a family home, including replacement windows, installation of a new staircase and construction of internal walls to create rooms.",2024-07-29,local-authority:DNC,,,,
23/02296/LBC,"Listed Building Consent for works to carry out renovations and alterations to bring the property back into use as a family home. Also restoration works to the mill workings with lighting, public viewing, glazing and other associated repairs and refurbishment throughout.",2024-07-29,local-authority:DNC,,,,
23/02297/FUL,Conversion of integrated garage to living space and adjustments to windows and doors within external walling,2024-01-15,local-authority:DNC,,,,
23/02298/FUL,"AMENDED: Erection of rear extension, garage and loft conversion to dwelling.",2024-04-23,local-authority:DNC,,,,
23/02302/FUL,Installation of solar PV panels to roof and air source heat pumps with associated fenced enclosure,2024-03-14,local-authority:DNC,,,,
23/02304/FUL,Reconfigured hard landscaping to re-provide car parking spaces in respect of previous planning application 23/00538/FUL,2024-01-09,local-authority:DNC,,,,
23/02313/FUL,Erection of a single storey rear extension to house in multiple occupation,2024-02-09,local-authority:DNC,,,,
23/02317/FUL,Erection of single storey front extension to form gym area,2024-01-15,local-authority:DNC,,,,
23/02318/FUL,Raising of roof height in connection with formation of rooms in roof space including a dormer window to the rear roof slope.,2024-01-08,local-authority:DNC,,,,
23/02320/ADV,"Display of 6 x fascia signs, 2 of which are internally illuminated,  4 x A0 aluminium poster frames, 1 x Silver anodised aluminium owners plaque, & 12 x digitally printed vinyl",2024-01-08,local-authority:DNC,,,,
23/02322/FUL,Replacement of roof tiles to a new colour (retrospective).,2024-07-18,local-authority:DNC,,,,
23/02323/TPO,"Application for consent to remove one Pine Tree which is located withihn Woodland (W2) forms part of TPO DMBC/TPO/00052 - Doncaster Borough Council Tree Preservation Order (No.52) 1989 Bawtry Hall, Bawtry.",2024-02-14,local-authority:DNC,,,,
23/02324/FULM,Erection of a single storey modular building to provide additional teaching facilities.,2024-05-28,local-authority:DNC,,,,
23/02326/FULM,Section 73 Application to vary conditions 3 and 4 of Planning Permission 15/02975/FULM (as agreed under conditions 1 and 3 of subsequent Reserved Matters 17/01174/REMM and ref. 23/00501/FULM) to 1. Alter approved plans to enlarge temple and 2. Alterations to parking area,2024-07-23,local-authority:DNC,,,,
23/02328/FUL,Erection of two storey extension to side of semi detached property .,2024-01-12,local-authority:DNC,,,,
23/02332/FUL,"Change of Use of the Orchids Day Centre for the elderly and disabled with 5- 6 bedrooms for overnight respite care at first floor level, to a Care home (Use Class C2) to provide 6 flats with communal facilities for residents & offices for support staff, with proposed demolition of existing small rear first floor addition, and erection of first floor extension to rear",2024-01-29,local-authority:DNC,,,,
23/02335/FUL,"Erection of a lean to style single storey extension to front entrance porch with 2 roof lights installation of stone surrounds to windows and doors, following the removal of the existing timber cladding. (Resubmission of 23/01225/FUL)",2024-01-11,local-authority:DNC,,,,
23/02343/FUL,Erection of an infill rear extension and formation of a first floor bay window,2024-01-18,local-authority:DNC,,,,
23/02347/FUL,Installation of a EN12566-3 certified sewage treatment plant to replace septic tank on neighbouring land.,2024-02-15,local-authority:DNC,,,,
23/02349/FUL,Erection of a replacement garden room following demolition of  existing.,2024-01-16,local-authority:DNC,,,,
23/02352/FUL,Section 73 Application to vary condition 4 (flood risk assessment) to alter the finished floor levels from 4.1m AOD to 3.1m AOD from planning application 22/00914/FUL granted on 30/06/2023.,2024-05-29,local-authority:DNC,,,,
